theta0_degrees,theta_tangent_degrees,theta_error_degrees,theta_error_abs_degrees,tau0,family_plain,forward_arc_iota_degrees,backward_arc_iota_degrees,s_min,s_max,q_min,q_max,q_abs_max,lateral_width_reference,longitudinal_width_reference,required_corridor_width,candidate_disk_distance_max,candidate_disk_residual_max
215.5,79.2197705803536,136.2802294196464,136.2802294196464,-1,CbC,90.00000000000001,46.280229419646396,-2.0765872766503675e-17,0.9583468397844866,-0.5291784088374725,0.20301667984750824,0.5291784088374725,0.7321950886849807,0.9583468397844866,1.1621950886849808,0.7321950886849808,0.0
216.0,79.26629350034177,136.7337064996582,136.7337064996582,-1,CbC,90.00000000000006,46.73370649965816,-1.1941844433010584e-16,0.9625509172378764,-0.5331669577951053,0.19902813088987634,0.5331669577951053,0.7321950886849816,0.9625509172378766,1.1621950886849817,0.732195088684981,1.1102230246251565e-16
216.5,79.31245626239095,137.18754373760905,137.18754373760905,-1,CbC,90.00000000000003,47.187543737609005,-1.0294708876198296e-17,0.9667898070560152,-0.537125236195275,0.1950698524897062,0.537125236195275,0.7321950886849812,0.9667898070560152,1.1621950886849812,0.7321950886849808,0.0
217.0,79.3582555648731,137.64174443512692,137.64174443512692,-1,CbC,90.00000000000001,47.641744435126895,-1.0911283714338369e-16,0.971063349106428,-0.5410529441836985,0.1911421445012824,0.5410529441836985,0.732195088684981,0.9710633491064281,1.162195088684981,0.732195088684981,1.1102230246251565e-16
217.5,79.40368810427552,138.0963118957245,138.0963118957245,-1,CbC,89.99999999999999,48.09631189572448,-1.0207838969268218e-17,0.9753713809978521,-0.544949781804874,0.18724530688010638,0.544949781804874,0.7321950886849804,0.9753713809978521,1.1621950886849803,0.7321950886849808,0.0
218.0,79.44875057527328,138.5512494247267,138.5512494247267,-1,CbC,89.99999999999999,48.55124942472669,0.0,0.9797137380610244,-0.5488154490110649,0.1833796396739155,0.5488154490110649,0.7321950886849804,0.9797137380610244,1.1621950886849803,0.7321950886849808,0.0
218.5,79.49343967080632,139.00656032919366,139.00656032919366,-1,CbC,90.00000000000001,49.00656032919365,-1.0122353307755255e-17,0.984090253329283,-0.5526496456715819,0.17954544301339903,0.5526496456715819,0.732195088684981,0.984090253329283,1.162195088684981,0.7321950886849808,0.0
219.0,79.53775208216003,139.46224791783996,139.46224791783996,-1,CbC,89.99999999999999,49.462247917839996,-1.008013789979925e-17,0.9885007575189992,-0.5564520715823789,0.1757430171026018,0.5564520715823789,0.7321950886849806,0.9885007575189992,1.1621950886849806,0.732195088684981,1.1102230246251565e-16
219.5,79.58168449904971,139.91831550095029,139.91831550095029,-1,CbC,90.00000000000003,49.91831550095024,-1.003827855166062e-17,0.9929450790098332,-0.5602224264759623,0.17197266220901888,0.5602224264759623,0.7321950886849812,0.9929450790098332,1.1621950886849812,0.7321950886849808,0.0
220.0,79.62523360970977,140.37476639029023,140.37476639029023,-1,CbC,89.99999999999996,50.37476639029026,-9.996778597568862e-18,0.997423043824824,-0.5639604100316306,0.16823467865334968,0.5639604100316306,0.7321950886849802,0.997423043824824,1.1621950886849801,0.732195088684981,1.1102230246251565e-16
